state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,6500,6500,440,7,1200,500,8,17.9,13.6,-,4.2,9.4,5.3,2,2017
Arizona,22000,22000,2600,12,12500,3000,14,57.8,15.6,19.4,12.2,20.1,0.7,2,2017
Arkansas,17000,17000,1900,11,5000,1300,8,24.5,12.2,2.4,4.9,3.4,3.1,2,2017
California,1140000,1180000,82000,7,210000,235000,20,36.1,7.5,2.9,12.4,4.7,3,2,2017
Colorado,16500,29000,3500,12,5500,7500,26,31.6,0.9,5.3,3.2,4.7,0.1,2,2017
Connecticut,3000,3000,140,5,2200,350,12,9.7,0.2,-,0.5,2,0.7,2,2017
Florida,245000,250000,25000,10,40000,50000,20,36.3,14.3,6.1,9,6.4,18.6,2,2017
Georgia,125000,142000,10500,7,21000,33000,23,33,5.6,1,6.7,6.3,2.8,2,2017
Hawaii,12000,12000,60,1,520,910,8,89.5,3.5,"""(Z)""",-,0.4,-,2,2017
Idaho,61000,78000,9500,12,24000,31000,40,31.2,7.4,3.9,8.2,7.7,4.7,2,2017
Illinois,12000,12500,1200,10,3600,1600,13,11,4.2,0.7,2.9,5.5,1.4,2,2017
Indiana,7500,11000,1200,11,3000,510,5,5.9,2.3,0.1,32.1,8.6,1.3,2,2017
Iowa,12500,23000,2000,9,24000,3900,17,39.4,27.7,7.6,26.7,8.2,0.9,2,2017
Kansas,4400,4900,380,8,2500,890,18,19.7,9.6,0.7,22.2,1.8,7.8,2,2017
Kentucky,6500,7000,560,8,2900,600,9,28.5,12.9,1.1,5,4.8,2.1,2,2017
Louisiana,56000,56000,2600,5,4600,9000,16,26.2,3.5,-,2.1,1.6,0.7,2,2017
Maine,2200,40000,910,2,790,1400,4,3.6,3.6,3.4,3.6,1.6,14.2,2,2017
Maryland,8000,9500,190,2,3200,930,10,3.3,6.9,0.7,0.2,2,1,2,2017
Massachusetts,1900,8000,130,2,1900,490,6,13.8,11.4,11.8,9.9,0.4,1.6,2,2017
Michigan,55000,79000,4600,6,22000,11500,15,24.4,9.8,0.2,1.7,1,0.6,2,2017
Minnesota,34000,128000,5000,4,18500,9000,7,21.4,4.7,2.4,13.3,6.6,2.2,2,2017
Mississippi,89000,89000,3800,4,5500,42000,47,14.4,0.6,-,1.3,2.9,0.5,2,2017
Missouri,7000,7500,260,3,1700,1000,13,13.8,8.7,3,1,5.1,1.8,2,2017
Montana,46000,134000,3800,3,15000,20000,15,24.3,3.8,4.2,3.3,4.4,0.6,2,2017
Nebraska,8500,63000,640,1,6000,39000,62,73.8,67.2,0.7,66.6,8.9,0.5,2,2017
New Jersey,6000,21000,430,2,1600,660,3,24.1,5.4,2.3,1.9,0.3,0.7,2,2017
New Mexico,7000,7500,1700,23,2300,3900,52,88.4,0.6,72.9,-,35.6,0.6,2,2017
New York,25000,41000,1300,3,16000,7500,18,21.7,2.2,2.2,2.1,9.1,0.1,2,2017
North Carolina,24000,25000,1600,6,3900,2700,11,23.4,5.5,2.3,0.8,5.1,1.5,2,2017
North Dakota,112000,385000,10500,3,19500,37000,10,27.9,3.6,2.8,5.4,3,0.4,2,2017
Ohio,13500,14500,1100,8,8000,2500,17,45.6,6.4,6.2,10.5,16.8,3,2,2017
Oklahoma,25000,25000,200,1,6500,1600,6,23,1.6,11.1,0.3,7.6,0.2,2,2017
Oregon,84000,108000,5000,5,18000,24000,22,32.7,9,10.2,3.6,14.8,9.6,2,2017
Pennsylvania,15000,16500,510,3,7000,2200,13,13.9,1,0.8,1.4,2.4,1.6,2,2017
South Carolina,20000,20000,870,4,1900,3700,19,23.9,21.3,14.7,17.9,4.1,0.3,2,2017
South Dakota,34000,152000,6000,4,10000,20000,13,20.9,1.4,1.3,9.7,6.2,3.6,2,2017
Tennessee,8500,9000,1100,12,2600,1300,14,47.4,24.9,1,3.1,10.4,3.9,2,2017
Texas,345000,345000,18000,5,43000,148000,43,28.8,16.6,1.5,12.5,2.9,1.1,2,2017
Utah,19000,35000,2300,7,14500,10500,30,32.2,1.1,0.2,0.1,10.9,"""(Z)""",2,2017
Vermont,6000,8000,170,2,390,190,2,3.3,0.3,0.3,-,0.2,0.5,2,2017
Virginia,8500,9000,1000,11,3100,1100,12,19.8,19.1,1,5.3,1.9,4.8,2,2017
Washington,89000,132000,6500,5,36000,21000,16,19.5,4.7,3.6,6.7,3.1,0.4,2,2017
West Virginia,7500,7500,340,5,3400,2500,33,11.5,1.5,1.7,0.4,3.6,1.6,2,2017
Wisconsin,18000,65000,2900,4,13000,6500,10,13.7,1.6,1.7,2.1,2.5,0.3,2,2017
Wyoming,15000,30000,1100,4,4800,4100,14,37.8,3.3,11.6,2.6,7.4,2.1,2,2017
United States,2886030,"""(X)""",225680,8,653470,806170,28,41.6,11.7,4.3,12.9,6.6,4.4,2,2017
