state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,6500,6500,830,13,210,1300,20,20.6,20.5,1.3,1.5,3.4,7.5,4,2018
Arizona,26000,27000,5000,19,2200,330,1,20.6,8.3,3.1,(Z),7.1,3,4,2018
Arkansas,30000,31000,6000,19,110,230,1,82.8,7.1,-,73.5,5.3,2.2,4,2018
California,680000,1200000,170000,14,86000,46000,4,44.1,16.6,9.8,11.6,9.3,7.1,4,2018
Colorado,30000,30000,3500,12,370,10,"""(Z)""",73.2,5.9,1,(Z),6.1,1.2,4,2018
Connecticut,3500,3500,220,6,-,60,2,12.5,3.6,2.3,0.9,4.2,2.3,4,2018
Florida,240000,290000,43000,15,53000,20000,7,46.7,22.4,9,14.1,8,6.7,4,2018
Georgia,148000,164000,19500,12,6500,49000,30,41.4,17.4,9.2,6.9,5.6,7.8,4,2018
Hawaii,16000,16000,940,6,1700,6000,38,70.5,83.3,(Z),-,0.1,-,4,2018
Idaho,99000,159000,15000,9,9000,910,1,64.9,47.4,9.6,15.9,7,4.5,4,2018
Illinois,12000,12000,1400,12,600,350,3,27.2,13.1,2.4,2.8,6.9,5.7,4,2018
Indiana,9000,9000,3300,37,40,1200,13,51.3,21.3,23.8,64.6,35.4,2.3,4,2018
Iowa,21000,21000,4200,20,630,80,"""(Z)""",55.1,27.2,8.9,31.6,29.4,5.6,4,2018
Kansas,5500,5500,1000,18,420,10,"""(Z)""",62,31.3,26,43.7,1.6,26.4,4,2018
Kentucky,7000,7000,2000,29,60,430,6,57.1,41.9,1.2,6.8,5.5,4.3,4,2018
Louisiana,50000,52000,2600,5,130,200,"""(Z)""",16.6,6.7,0.3,5.9,1,1.7,4,2018
Maine,12000,12000,1400,12,210,880,7,9.3,5.1,(Z),-,1.2,0.1,4,2018
Maryland,7000,9000,690,8,60,90,1,16.6,5.3,0.3,1.2,4.9,1.7,4,2018
Massachusetts,4900,4900,650,13,110,320,7,33.2,9.2,8.1,9.4,3.4,5.3,4,2018
Michigan,77000,77000,6000,8,3900,1800,2,52,31.2,15.6,15.1,2.4,6.6,4,2018
Minnesota,84000,86000,11500,13,2500,590,1,28.4,5.2,4.2,7.9,3.8,2.4,4,2018
Mississippi,14500,25000,2000,8,330,50,"""(Z)""",26.5,6.7,0.2,0.5,3,4.5,4,2018
Missouri,10000,10000,880,9,170,150,2,37,10,1.1,2.3,1.9,4.1,4,2018
Montana,98000,102000,5500,5,3100,500,"""(Z)""",40.7,13,5.6,17.5,2.9,(Z),4,2018
Nebraska,45000,45000,5000,11,7000,840,2,3,0.7,0.7,0.3,2.9,1,4,2018
New Jersey,15500,15500,1300,8,30,80,1,14,3.2,0.1,-,5.4,0.3,4,2018
New Mexico,8000,8000,3000,38,50,-,-,81.3,0.8,3.7,0.1,8,1.2,4,2018
New York,53000,53000,4400,8,1000,1500,3,26,4.5,7.8,2.4,7.8,0.7,4,2018
North Carolina,16000,16000,2700,17,250,300,2,53,10.4,3.8,2,11.1,5.2,4,2018
North Dakota,430000,435000,29000,7,7500,1500,"""(Z)""",29.5,9.4,8.1,10.6,4.3,4.6,4,2018
Ohio,15500,15500,2100,14,170,450,3,29.3,5.8,0.1,8.1,2.4,9.9,4,2018
Oklahoma,2200,57000,2500,4,60,20,"""(Z)""",13.1,0.4,(Z),-,(Z),0.3,4,2018
Oregon,89000,101000,13000,13,10500,12000,12,44.1,4.6,16,14.8,0.9,0.2,4,2018
Pennsylvania,21000,21000,4000,19,270,1500,7,26.9,10.7,6.7,13,7.8,5.4,4,2018
South Carolina,10000,12500,1500,12,770,790,6,32.2,16.1,0.3,1.4,1.3,5.5,4,2018
South Dakota,140000,140000,21000,15,2000,430,"""(Z)""",12.8,1.3,7,1.6,2.1,2.5,4,2018
Tennessee,8000,8500,1900,22,30,370,4,49.8,20.8,1.9,11.4,9.1,5.1,4,2018
Texas,116000,260000,17000,7,11000,70,"""(Z)""",18.6,18.5,5.5,3,6.2,3.7,4,2018
Utah,27000,27000,3400,13,180,400,1,48,9.8,5.5,8,6.5,4.9,4,2018
Vermont,6500,6500,170,3,10,20,"""(Z)""",6.2,1.3,-,-,0.8,0.7,4,2018
Virginia,7000,7000,1100,16,80,1300,19,57.1,38.4,12.1,13.1,5.8,2.8,4,2018
Washington,75000,81000,11000,14,5500,1400,2,34.5,0.5,11.7,4.9,3.3,1.3,4,2018
West Virginia,7000,7000,1200,17,50,70,1,29.5,15.2,0.6,7.2,4.2,6.8,4,2018
Wisconsin,48000,48000,8500,18,1600,530,1,29.9,28.3,1.5,24.5,7.6,5.2,4,2018
Wyoming,30000,32000,2700,8,220,-,-,43.9,7.9,2.6,6.8,1,1.4,4,2018
Other States ,8370,8670,1150,13,20,500,6,12.7,0.2,0.2,5.4,1.5,5.4,4,2018
United States,2868970,"""(X)""",444730,16,219640,154560,5,50.5,20.3,10.4,13.8,8.4,6.5,4,2018
