state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,5500,5500,650,12,800,200,4,27.2,22.7,1.8,0.3,3.1,9,1,2019
Arizona,22000,22000,2500,11,430,90,"""(Z)""",25.8,7.9,6.5,16.2,8.4,0.2,1,2019
Arkansas,28000,28000,6500,23,20,20,"""(Z)""",19.5,1.5,3.3,55.3,0.7,2.9,1,2019
California,1140000,1580000,235000,15,83000,86000,5,43.5,13.4,6.4,12.3,8.7,5.6,1,2019
Colorado,5000,7500,320,4,-,-,-,11.2,0.3,-,-,2.5,0.6,1,2019
Connecticut,3100,3100,270,9,170,10,"""(Z)""",10.1,1.3,-,-,3.6,1.7,1,2019
Florida,300000,315000,46000,15,41000,16500,5,46.9,24.8,5.5,22.9,7.4,5.5,1,2019
Georgia,120000,129000,14500,11,19500,8000,6,69.6,17.8,7.4,9.6,10.6,4.9,1,2019
Hawaii,16500,16500,390,2,660,3700,22,72.1,64.9,0.1,0.7,2.9,-,1,2019
Idaho,132000,145000,12500,9,4600,1100,1,24.5,8,8,9.2,8.6,(Z),1,2019
Illinois,9000,9000,2300,26,210,80,1,33.3,14.7,3.1,0.7,15.5,10.1,1,2019
Indiana,6000,6000,710,12,440,280,5,15.6,8.8,2.6,5.5,7.1,1.7,1,2019
Iowa,7500,11500,1600,14,170,140,1,34.8,1.7,0.6,0.3,7.7,3.5,1,2019
Kansas,4500,4500,1500,33,370,110,2,102,7.8,2.5,12.2,21.6,4,1,2019
Kentucky,3700,4400,890,20,60,30,1,21.6,12.9,0.1,5.3,10.7,4.6,1,2019
Louisiana,49000,51000,3500,7,9000,16000,31,57.8,1.3,0.1,0.3,1,0.7,1,2019
Maine,7000,7000,470,7,10,30,"""(Z)""",2.3,0.1,-,-,1.4,0.8,1,2019
Maryland,8000,8000,2300,29,30,10,"""(Z)""",12.6,5.1,0.2,(Z),10.1,2.4,1,2019
Massachusetts,3800,3800,680,18,60,20,1,10.3,-,-,4.3,6.3,0.9,1,2019
Michigan,24000,33000,6500,20,-,-,-,18.2,5.8,1.5,0.2,12.2,0.7,1,2019
Minnesota,17000,43000,2200,5,80,470,1,1.3,0.2,1.9,-,2,0.8,1,2019
Mississippi,26000,29000,2400,8,3800,1700,6,14.6,71,64.8,48.4,1.9,5.5,1,2019
Missouri,8500,8500,1100,13,80,60,1,5.4,2.3,1.9,0.5,5.4,3.2,1,2019
Montana,37000,68000,3500,5,1700,1900,3,15.1,(Z),-,0.8,0.8,1.1,1,2019
Nebraska,13500,16500,2500,15,-,-,-,32.3,1.3,32,0.8,2.2,0.1,1,2019
New Jersey,6000,6000,310,5,130,60,1,15.3,4.4,-,-,3.5,0.6,1,2019
New Mexico,4800,4800,170,4,-,-,-,3.5,1.1,0.6,-,1.4,0.3,1,2019
New York,24000,24000,3400,14,110,80,"""(Z)""",10.6,2.5,1.7,1.7,7.7,9,1,2019
North Carolina,10500,14500,1700,12,750,890,6,16.4,2,0.2,0.7,2.2,3.4,1,2019
North Dakota,92000,102000,1100,1,-,1300,1,6.9,-,-,6.5,0.4,1.3,1,2019
Ohio,10500,12500,3500,28,1700,440,4,49.3,9.9,11.1,1.1,6.7,3.1,1,2019
Oklahoma,21000,55000,50,"""(Z)""",20,-,-,7.7,0.3,-,-,(Z),(Z),1,2019
Oregon,89000,95000,7500,8,8000,1800,2,18,0.1,0.2,0.2,2.7,0.5,1,2019
Pennsylvania,15000,15000,2900,19,370,320,2,15.3,4.6,3.7,4,7.5,9.5,1,2019
South Carolina,12000,13000,690,5,2000,340,3,18.5,14.5,(Z),1.7,12.4,1,1,2019
South Dakota,18500,18500,1100,6,-,-,-,0.8,(Z),-,2.5,0.8,2.2,1,2019
Tennessee,6000,7000,1500,21,240,320,5,62.8,23.6,5.1,0.9,7.7,7.1,1,2019
Texas,260000,330000,17000,5,61000,35000,11,26.1,6.5,5.3,8.3,6.9,3,1,2019
Utah,8500,11000,1800,16,900,-,-,22.9,-,0.1,-,0.3,8.8,1,2019
Vermont,6500,6500,260,4,50,-,-,6.2,0.1,2.4,-,0.2,1.2,1,2019
Virginia,5500,5500,1100,20,80,110,2,16.6,12.8,0.8,0.3,3.9,9.3,1,2019
Washington,51000,75000,7000,9,5500,2200,3,22.3,0.8,0.6,0.3,0.8,0.2,1,2019
West Virginia,5000,7000,1300,19,20,60,1,10.3,3.2,1.1,0.2,5,1.3,1,2019
Wisconsin,16500,17000,3700,22,580,100,1,15.9,3.2,0.7,1.1,13.8,5,1,2019
Wyoming,6500,9500,250,3,-,-,-,0.7,-,0.1,-,0.5,2.3,1,2019
Other States ,6070,6070,590,10,70,30,"""(Z)""",6.9,1.8,0.3,-,2.1,1.6,1,2019
United States,2671470,"""(X)""",407700,15,247710,179500,7,45.6,14.8,7.1,13.6,9,5.2,1,2019
