state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,8000,8000,930,12,1200,690,9,9.6,8.2,0.3,1.7,4.8,5.4,2,2016
Arizona,22000,23000,3700,16,14000,1600,7,26.8,47.5,17.2,12,17.4,3.5,2,2016
Arkansas,24000,24000,3400,14,12000,1600,7,84.9,8.5,5.5,0.1,3.4,1.6,2,2016
California,1110000,1150000,108000,9,240000,185000,16,49.7,14.1,11.2,14.2,15.3,2.6,2,2016
Colorado,9500,29000,1800,6,9000,680,2,38.7,0.8,3.3,1.4,2.6,0.3,2,2016
Connecticut,2500,2500,100,4,390,60,2,9.3,0.6,0.5,0.3,4.4,1.2,2,2016
Florida,240000,240000,29000,12,43000,21000,9,48.2,23.3,10,11.6,10.1,2,2,2016
Georgia,108000,111000,11000,10,17500,3600,3,59.3,28.4,2,28.4,11.7,2.7,2,2016
Hawaii,13500,13500,830,6,870,-,-,35.6,38.1,"""(Z)""",0.6,3.2,-,2,2016
Idaho,60000,80000,6000,8,19000,5500,7,21.2,4.8,2.7,3.1,5.4,2.7,2,2016
Illinois,9000,9000,740,8,2200,380,4,11.4,4.4,2,3.1,4.7,2.1,2,2016
Indiana,4300,7000,220,3,2700,900,13,12.5,2.9,"""(Z)""",2.1,2.8,4.3,2,2016
Iowa,10500,26000,2400,9,26000,760,3,23.5,17.8,18.7,0.6,6,5.7,2,2016
Kansas,4700,6000,960,16,3000,900,15,47.3,11.6,2.8,8.3,3.7,1.8,2,2016
Kentucky,5500,6000,450,8,2100,270,5,38.9,36.1,1.7,28.4,16,3.8,2,2016
Louisiana,52000,53000,4300,8,10000,9500,18,20.7,1.1,-,0.3,1.2,0.6,2,2016
Maine,3600,25000,4200,17,510,560,2,82.7,-,4.3,31.1,2.4,27.9,2,2016
Maryland,8000,9000,320,4,2800,400,4,4.2,2.3,2.4,2.9,3.3,0.6,2,2016
Massachusetts,4200,8500,300,4,1100,440,5,40.5,10.6,0.3,10.6,2.3,11.9,2,2016
Michigan,40000,103000,7500,7,13500,3200,3,54.1,9.3,1.1,16.5,11.8,1.1,2,2016
Minnesota,27000,126000,13000,10,24000,4200,3,20.8,6,6.5,18.2,8.6,7.6,2,2016
Mississippi,85000,90000,3700,4,9000,61000,68,12.3,2.3,1.2,2.7,1.2,0.1,2,2016
Missouri,12000,12500,770,6,1800,730,6,17.2,1.6,0.7,0.1,1.6,1.2,2,2016
Montana,62000,157000,7000,4,25000,13500,9,30.3,7.1,4.5,3.9,6.9,0.2,2,2016
Nebraska,19500,43000,6000,14,8000,28000,65,6.1,0.1,1,3.8,1.1,3.5,2,2016
New Jersey,4200,18000,1500,8,1900,110,1,11.9,0.9,0.2,"""(Z)""",0.2,0.3,2,2016
New Mexico,6500,6500,1400,22,2700,100,2,59.1,0.3,12.1,2.5,8.2,-,2,2016
New York,31000,46000,4000,9,13500,1500,3,20.4,3.1,0.9,11.7,4.1,3.8,2,2016
North Carolina,23000,24000,1600,7,10000,550,2,51.8,23.5,4.7,33.8,8.3,41.7,2,2016
North Dakota,110000,530000,27000,5,23000,95000,18,16.2,3.7,2.1,1.1,3.6,0.2,2,2016
Ohio,14000,16500,1700,10,6000,1100,7,10.6,2.2,0.6,18.3,2.9,1.4,2,2016
Oklahoma,12000,13000,310,2,4000,10000,77,51.8,2.8,0.2,1.2,0.6,0.4,2,2016
Oregon,77000,132000,4300,3,19000,16000,12,52.7,14.5,9.9,2.6,16.7,6,2,2016
Pennsylvania,11000,14000,1300,9,6500,1100,8,18.7,3.9,2.4,3.6,4.6,0.9,2,2016
South Carolina,12500,13500,1300,10,2200,410,3,51.3,36.6,1,35.8,14.3,1.3,2,2016
South Dakota,51000,182000,11000,6,15000,13000,7,32.4,6.6,1.7,5.1,15.4,0.1,2,2016
Tennessee,8000,8000,580,7,3900,200,3,40.9,22.7,0.1,0.4,9.1,2.6,2,2016
Texas,340000,350000,36000,10,74000,54000,15,26.1,9,7.5,2.4,7.4,3.7,2,2016
Utah,14500,25000,4800,19,12000,7000,28,23,0.1,1.8,7.3,3.4,0.8,2,2016
Vermont,5000,6500,20,"""(Z)""",480,30,"""(Z)""",2.6,0.1,0.1,-,0.3,0.1,2,2016
Virginia,6000,6500,230,4,2200,480,7,23.1,4.2,6.8,6,7.3,2.9,2,2016
Washington,91000,143000,6000,4,21000,11500,8,40.9,11.4,3.3,3.1,11.1,0.6,2,2016
West Virginia,7000,7000,990,14,2600,160,2,20.1,0.8,4.2,-,14.7,0.7,2,2016
Wisconsin,18500,78000,5500,7,17500,3600,5,23.4,3.7,12.8,12.6,14.9,10.5,2,2016
Wyoming,6500,27000,2600,10,7500,580,2,7.1,2.6,1.2,0.6,2.5,0.8,2,2016
United States,2801470,"""(X)""",329820,12,736920,561160,20,53.4,16.3,9.5,12.4,12.3,4.1,2,2016
