state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,8000,8000,1200,15,440,50,1,11.7,42,"""(Z)""",3.8,3.2,13.8,3,2016
Arizona,30000,32000,6000,19,3200,2600,8,41.7,1,0.9,13.5,13.4,8.9,3,2016
Arkansas,32000,32000,1500,5,270,60,"""(Z)""",80.7,9,0.4,7.9,2.7,0.3,3,2016
California,740000,820000,82000,10,33000,78000,10,42.2,17.8,8.5,18.8,10.4,6.9,3,2016
Colorado,33000,37000,6500,18,1100,740,2,49.3,22.4,16.8,24.6,10.6,0.1,3,2016
Connecticut,3100,3100,270,9,890,180,6,18.8,1.6,-,0.2,5,0.8,3,2016
Florida,200000,220000,25000,11,62000,14500,7,45.1,23.4,2.7,9.9,8.5,1.8,3,2016
Georgia,102000,103000,13000,13,12500,2300,2,30.7,16.4,2.4,12.1,7.6,4.5,3,2016
Hawaii,13500,13500,600,4,430,820,6,67.8,75.3,0.1,0.8,-,-,3,2016
Idaho,79000,131000,13000,10,1900,2800,2,25.3,4.7,4.5,7.6,6,3.3,3,2016
Illinois,11000,11000,1300,12,850,310,3,17.4,7.9,0.7,4.3,2.9,1.6,3,2016
Indiana,9500,9500,600,6,450,550,6,50.4,12.4,1.2,0.6,2.5,1.2,3,2016
Iowa,50000,50000,5500,11,10500,2400,5,32.6,3.4,0.8,16.7,2.4,5.6,3,2016
Kansas,8000,8000,2600,33,310,190,2,42.8,25.5,14.1,29.1,4.5,2.6,3,2016
Kentucky,7500,7500,1000,13,900,230,3,42.3,25.7,0.9,11.5,7.4,4.5,3,2016
Louisiana,51000,60000,7000,12,2600,2100,4,39.5,26.1,"""(Z)""",1.6,9.6,0.7,3,2016
Maine,5500,5500,420,8,240,140,3,9.3,0.1,0.2,-,0.6,-,3,2016
Maryland,7000,7000,200,3,400,20,"""(Z)""",10.8,4.8,0.1,0.7,0.6,1.6,3,2016
Massachusetts,9500,9500,530,6,450,40,"""(Z)""",14.1,8.7,6.8,0.1,3.4,7.9,3,2016
Michigan,108000,108000,15000,14,11000,9500,9,64.1,25.1,0.3,9.1,6.5,2.7,3,2016
Minnesota,132000,138000,26000,19,1300,1900,1,47.2,14.6,6.2,22.4,17.8,8.9,3,2016
Mississippi,19000,20000,3300,17,750,740,4,27.5,3.5,1.6,1.8,5,4.7,3,2016
Missouri,13500,13500,650,5,480,170,1,13.3,7.7,1,0.1,3.1,0.7,3,2016
Montana,147000,158000,11500,7,4100,6500,4,41.9,8.8,7,6.9,6.1,1.4,3,2016
Nebraska,45000,47000,8500,18,390,27000,57,20.4,1.6,0.1,10.2,1.6,0.1,3,2016
New Jersey,18000,18000,270,2,120,80,"""(Z)""",20.2,7.1,1.2,8.5,1.3,0.3,3,2016
New Mexico,6500,6500,1100,17,2000,1000,15,59.5,55.4,55.2,24.1,1.7,0.7,3,2016
New York,56000,56000,10000,18,1900,800,1,37.4,9,5.5,5.2,24.7,2.6,3,2016
North Carolina,25000,25000,1400,6,1400,1200,5,27.8,13.4,0.1,2.9,13.4,3,3,2016
North Dakota,510000,550000,71000,13,25000,104000,19,38,11.8,6.3,12.9,9.9,3.1,3,2016
Ohio,21000,21000,1600,8,980,630,3,60.6,10.6,2.3,2.9,3.6,3.2,3,2016
Oklahoma,3700,3700,560,15,30,30,1,7.5,6.5,0.3,0.7,1.4,21.8,3,2016
Oregon,107000,112000,7500,7,2900,4300,4,52.9,18.5,12.5,9.6,5.1,1.5,3,2016
Pennsylvania,19000,22000,1300,6,680,780,4,27.3,7.7,1.6,4.3,2.8,1.2,3,2016
South Carolina,13000,13500,920,7,990,50,"""(Z)""",20.4,18.8,0.1,2.6,2.6,1.9,3,2016
South Dakota,178000,191000,25000,13,4200,9500,5,48.8,19.5,14.2,22.7,4.6,2.8,3,2016
Tennessee,10000,10000,950,10,340,290,3,22.5,23.1,1.3,2.4,6.2,2,3,2016
Texas,129000,143000,12000,8,12500,810,1,47.2,11.4,1.7,31.4,3.7,4.1,3,2016
Utah,27000,33000,3200,10,1200,120,"""(Z)""",32.1,20.2,0.6,21.8,2.5,1.7,3,2016
Vermont,6500,6500,400,6,170,50,1,5.6,8,1.7,-,2.4,0.8,3,2016
Virginia,8000,8000,810,10,460,360,5,39.1,24.1,1.1,2.3,5.3,3.6,3,2016
Washington,57000,74000,5000,7,7500,2000,3,65.2,1.4,0.9,19.1,4.3,0.1,3,2016
West Virginia,7500,7500,190,3,130,220,3,41.5,7.1,3.6,0.1,8.1,0.4,3,2016
Wisconsin,71000,75000,12000,16,880,640,1,31.5,13.6,10.8,15.8,5.1,11.1,3,2016
Wyoming,32000,40000,7000,18,1800,1000,3,38.6,3.1,0.5,2.6,3.4,0.3,3,2016
United States,3181180,"""(X)""",397290,12,217320,282130,9,46.1,15.6,6.7,15.1,9.3,4.5,3,2016
