state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7000,7000,610,9,50,10,"""(Z)""",12.3,9.9,0.2,2.4,6.7,3.3,4,2016
Arizona,29000,31000,6500,21,4600,3100,10,98.8,15.5,2.3,6.5,4.3,3.2,4,2016
Arkansas,28000,28000,2500,9,20,10,"""(Z)""",21.1,4.8,"""(Z)""",1.3,1.1,3.3,4,2016
California,770000,1330000,205000,15,40000,35000,3,41.9,13.7,8,9.1,9.6,3.5,4,2016
Colorado,30000,30000,4500,15,2500,-,-,32.4,1.3,0.1,3.1,13,0.1,4,2016
Connecticut,3100,3100,240,8,-,-,-,14.7,6.6,1.1,1,5.8,3.2,4,2016
Florida,255000,300000,41000,14,31000,11500,4,30.9,27.1,7.7,17,13.6,6.5,4,2016
Georgia,96000,112000,11000,10,12000,450,"""(Z)""",43.6,8.6,3.7,7.6,4.1,2.5,4,2016
Hawaii,13500,13500,970,7,60,840,6,39.9,40.8,-,0.1,0.2,0.1,4,2016
Idaho,121000,143000,15500,11,5000,420,"""(Z)""",31.9,0.8,4.8,0.2,4.2,3,4,2016
Illinois,9000,9000,720,8,-,-,-,27.8,11.7,1.2,5.6,3.9,4.8,4,2016
Indiana,7500,7500,1200,16,20,-,-,28.2,9.6,0.2,1.4,1,3.8,4,2016
Iowa,54000,54000,4700,9,-,20,"""(Z)""",18.7,9.8,8.9,9,11.4,6.3,4,2016
Kansas,5000,5000,1300,26,200,-,-,29.2,8.3,0.3,3.1,5.1,1.4,4,2016
Kentucky,7500,7500,950,13,60,80,1,48.2,22.3,3.3,3,10.3,5.7,4,2016
Louisiana,48000,57000,2000,4,250,340,1,2.9,1,1,0.1,0.7,1.2,4,2016
Maine,3500,3500,280,8,-,-,-,10.7,0.8,0.1,-,5.8,0.1,4,2016
Maryland,7500,9500,500,5,20,30,"""(Z)""",23.8,8.3,4.5,4.6,5.8,0.6,4,2016
Massachusetts,8000,8000,740,9,-,-,-,6.1,2.6,0.4,0.4,0.7,4.2,4,2016
Michigan,101000,101000,12500,12,10,130,"""(Z)""",23.9,1.5,0.1,2.7,4,0.6,4,2016
Minnesota,113000,114000,13500,12,-,-,-,27.5,7.7,3.1,17.6,5,8.9,4,2016
Mississippi,17500,30000,2400,8,330,60,"""(Z)""",21.9,6,0.1,-,2.1,2.8,4,2016
Missouri,9000,9000,590,7,1400,640,7,16.1,12.6,0.2,"""(Z)""",1.5,0.7,4,2016
Montana,124000,124000,16000,13,2700,-,-,59.1,39.4,32.9,13.7,33.3,33.1,4,2016
Nebraska,37000,37000,4300,12,190,-,-,10.5,1.4,0.2,1.2,0.4,1.5,4,2016
New Jersey,12000,12000,340,3,400,-,-,28.6,11.3,0.4,1.9,3.4,8.6,4,2016
New Mexico,7000,7000,1600,23,1100,20,"""(Z)""",46.2,0.3,7.2,-,0.8,0.3,4,2016
New York,48000,49000,9000,18,240,130,"""(Z)""",27.8,2.2,3.6,12.5,2.2,2.1,4,2016
North Carolina,25000,25000,5500,22,220,50,"""(Z)""",24,7.7,1.8,-,12.5,1.3,4,2016
North Dakota,385000,390000,44000,11,13500,2500,1,23.5,7.9,1.5,0.4,2.6,2.2,4,2016
Ohio,19500,19500,2100,11,20,140,1,42,18.1,0.8,4.2,11.2,10.9,4,2016
Oklahoma,3100,44000,2700,6,120,30,"""(Z)""",4.9,0.5,"""(Z)""",0.1,0.1,0.7,4,2016
Oregon,98000,124000,9500,8,1500,1000,1,25.5,2.8,13,2.8,2.6,1.3,4,2016
Pennsylvania,21000,21000,3100,15,120,180,1,18.7,2.6,1,2.8,4.9,3.1,4,2016
South Carolina,12000,17000,1300,8,760,370,2,29,27.1,23.3,24.6,25.9,1.9,4,2016
South Dakota,146000,146000,11000,8,-,2400,2,48.9,5.3,0.3,6,1,0.3,4,2016
Tennessee,9000,9000,840,9,120,10,"""(Z)""",19.9,21.6,-,1.1,2.2,3.1,4,2016
Texas,136000,310000,39000,13,2200,650,"""(Z)""",33.1,17.5,3.2,3.6,2.8,1.4,4,2016
Utah,30000,30000,1600,5,440,50,"""(Z)""",26.4,0.1,0.2,0.9,0.7,0.3,4,2016
Vermont,6500,6500,260,4,20,10,"""(Z)""",44.5,41.3,41.2,41,0.4,-,4,2016
Virginia,7000,7000,730,10,230,10,"""(Z)""",31.4,19.9,2,-,1.8,5.1,4,2016
Washington,65000,97000,9000,9,3100,130,"""(Z)""",21.4,4.6,3.7,9.1,4.5,0.3,4,2016
West Virginia,7500,7500,1000,13,80,60,1,23.8,2.3,1.1,1.1,4.3,2.8,4,2016
Wisconsin,59000,59000,7500,13,10,20,"""(Z)""",69.3,12.2,10,10.6,10.6,46.2,4,2016
Wyoming,25000,27000,2200,8,50,-,-,32.2,1.6,3.1,5.2,1.1,-,4,2016
United States,3032060,"""(X)""",502350,17,124660,60390,2,46.6,16.9,8.3,9.4,10.1,6.4,4,2016
