state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7000,7000,1800,26,2800,250,4,10,5.4,"""(Z)""",2.2,9.1,9.4,1,2015
Arizona,35000,35000,4600,13,3400,2100,6,26.9,20.5,0.1,"""(Z)""",1.8,3.1,1,2015
Arkansas,13000,14000,1500,11,1200,90,1,17.6,11.4,1.5,3.4,1,1,1,2015
California,1440000,1690000,255000,15,250000,124000,7,24.7,7.2,3,7.5,6.5,2.8,1,2015
Colorado,3500,12500,1500,12,200,140,1,14.6,0.9,1.8,0.6,2.6,5.9,1,2015
Connecticut,3900,3900,870,22,290,-,-,2.5,1.4,"""(Z)""","""(Z)""",21.2,2.4,1,2015
Florida,305000,315000,42000,13,54000,25000,8,22.3,13.5,0.8,8.9,5.1,4.4,1,2015
Georgia,104000,105000,14500,14,47000,9500,9,6.2,4.9,3.3,2.6,4.8,10.5,1,2015
Hawaii,10500,10500,380,4,3400,760,7,38.8,37.7,1.6,"""(Z)""",2,"""(Z)""",1,2015
Idaho,81000,88000,3700,4,2600,8000,9,39.8,6.7,12.5,4.8,8.9,4.9,1,2015
Illinois,6000,10500,4200,40,2300,390,4,12.3,6.9,0.7,0.4,12.6,11.6,1,2015
Indiana,9000,9500,2100,22,490,120,1,20.7,0.3,0.2,0.3,22.3,11.7,1,2015
Iowa,12500,17500,3100,18,1700,270,2,26,0.7,4.6,3.4,18,3.4,1,2015
Kansas,4600,7000,1600,23,450,70,1,32.7,1.3,1.1,14.2,9.5,3.4,1,2015
Kentucky,7500,10500,4100,39,250,-,-,10.8,10.7,2.5,2.5,22.7,12.9,1,2015
Louisiana,51000,51000,8000,16,3100,6500,13,17.2,4.7,4.3,1.7,3.1,2.1,1,2015
Maine,3100,6500,380,6,20,-,-,4.4,0.1,"""(Z)""","""(Z)""",7.5,1.9,1,2015
Maryland,7500,10000,4100,41,1600,870,9,10.1,1.8,0.4,"""(Z)""",24.2,12.4,1,2015
Massachusetts,2900,4600,1000,22,260,120,3,23.5,3.5,2.1,2.8,7.6,4.7,1,2015
Michigan,16500,60000,11500,19,7500,2400,4,14.3,3.1,1.1,1.6,8.3,4.6,1,2015
Minnesota,28000,74000,3700,5,690,530,1,1.4,0.1,"""(Z)""",0.1,1.6,2.1,1,2015
Mississippi,34000,76000,8500,11,22000,7500,10,9.4,8.2,0.1,2.1,1.2,1.1,1,2015
Missouri,12000,13000,2000,15,220,910,7,13.1,6,2.2,4.2,11.8,6.3,1,2015
Montana,8500,36000,2200,6,1400,1100,3,8.7,0.5,0.6,0.8,2.3,7.9,1,2015
Nebraska,10000,31000,2600,8,120,310,1,5.9,0.1,0.1,0.5,0.3,3,1,2015
New Jersey,6000,9000,1100,12,570,1600,18,40.1,13.2,30.4,11.1,19.5,16.7,1,2015
New Mexico,7000,7000,690,10,190,600,9,17.1,0.1,"""(Z)""",0.2,1.3,0.4,1,2015
New York,27000,30000,6500,22,430,950,3,7.6,2.6,0.5,4.4,12.4,8.3,1,2015
North Carolina,24000,26000,7000,27,6000,690,3,35.5,2.3,0.1,22.9,6.2,12.2,1,2015
North Dakota,57000,120000,620,1,1800,530,"""(Z)""",1.7,1.7,"""(Z)""","""(Z)""",2.5,0.1,1,2015
Ohio,18000,22000,10500,48,5000,3300,15,10.7,1.6,1,3,17.8,3.1,1,2015
Oklahoma,9500,26000,6000,23,2600,260,1,14.5,10.1,0.5,"""(Z)""",2.1,2.9,1,2015
Oregon,77000,87000,6500,8,4300,2400,3,20.2,2,0.4,0.6,1.6,1.1,1,2015
Pennsylvania,14000,21000,6500,31,360,-,-,28.1,6.3,1.9,1.9,17.8,6.3,1,2015
South Carolina,17000,17500,2700,15,2700,1400,8,10.5,2.3,0.2,0.3,3.6,2.9,1,2015
South Dakota,50000,97000,4600,5,8500,2800,3,1.2,0.9,0.3,0.5,1.2,1.8,1,2015
Tennessee,9500,9500,2000,21,1000,190,2,22.2,17.1,"""(Z)""","""(Z)""",13,4.4,1,2015
Texas,191000,250000,26000,10,82000,51000,20,21.5,12.2,5,11.1,2.3,6.2,1,2015
Utah,6000,24000,3300,14,2500,290,1,13.6,0.9,0.1,4.4,3,0.5,1,2015
Vermont,5500,5500,700,13,1200,20,"""(Z)""",2.3,5.6,"""(Z)""","""(Z)""",5.8,4.9,1,2015
Virginia,8000,9000,2500,28,800,460,5,19,9.4,2.3,"""(Z)""",9.8,11.9,1,2015
Washington,52000,105000,14000,13,13500,9000,9,21.5,0.5,0.3,3.6,6,1.1,1,2015
West Virginia,4700,6000,1800,30,570,60,1,18,7.3,2.2,2.1,14.6,6.1,1,2015
Wisconsin,16500,29000,8000,28,3100,2500,9,18.8,1.6,2.7,8.5,8.3,5.8,1,2015
Wyoming,5500,12000,2000,17,2000,1400,12,0.9,"""(Z)""","""(Z)""","""(Z)""",0.7,"""(Z)""",1,2015
Other States ,3410,8990,2080,23,870,150,2,0.8,0.1,"""(Z)""",0.1,0.9,"""(Z)""",1,2015
United States,2824610,"""(X)""",500020,18,546980,270530,10,25.2,8.6,3.1,7.4,6.9,4.3,1,2015
