state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,8500,9000,1400,16,160,260,3,63.1,70.6,"""(Z)""",2.6,2.2,17.7,3,2015
Arizona,40000,40000,6000,15,4300,15500,39,53.5,24.8,5.4,17.3,7.6,5.1,3,2015
Arkansas,23000,30000,9000,30,500,210,1,69.2,32.4,0.9,5,1.8,1.4,3,2015
California,730000,800000,76000,10,40000,93000,12,39.9,20.4,12.5,19.6,15,4.7,3,2015
Colorado,29000,30000,4500,15,1400,1400,5,50.5,1.5,2.7,16.5,3.7,2.7,3,2015
Connecticut,3700,3700,50,1,190,440,12,39.3,1.2,0.4,1.5,7.8,"""(Z)""",3,2015
Florida,164000,220000,36000,16,37000,29000,13,39.5,21.7,6.7,22.9,21.9,3.4,3,2015
Georgia,108000,110000,13000,12,19500,15500,14,47.6,16.2,3.6,21.2,8.9,3.6,3,2015
Hawaii,14500,14500,2700,19,1200,5500,38,78.1,80.5,0.1,0.1,2.5,"""(Z)""",3,2015
Idaho,80000,128000,14000,11,5500,11500,9,46.8,5.2,1.7,10,2.2,6.4,3,2015
Illinois,14000,14000,1400,10,1300,1100,8,7.7,3,0.6,0.4,3.4,1,3,2015
Indiana,15000,15000,1600,11,1400,420,3,13.7,10.3,4.8,8.2,1,6.2,3,2015
Iowa,29000,37000,3000,8,640,680,2,17.4,5.8,0.1,4.7,5.6,3.4,3,2015
Kansas,9000,9500,1000,11,100,160,2,22.5,16.2,0.2,14.1,14.8,1.7,3,2015
Kentucky,10000,10000,1300,13,170,550,6,40.4,11.3,1.2,6.5,9,2,3,2015
Louisiana,50000,55000,2000,4,2300,1800,3,25.9,2.3,"""(Z)""",1.6,3,0.2,3,2015
Maine,6000,6000,450,8,410,140,2,9.9,3.4,13.2,"""(Z)""",2.6,7.8,3,2015
Maryland,7000,7500,680,9,730,70,1,26.9,19.1,2.9,22.8,7.1,2,3,2015
Massachusetts,7500,7500,560,8,290,400,5,16.3,2.9,0.4,2.1,2.5,0.3,3,2015
Michigan,89000,89000,7000,8,3300,3800,4,44.6,16.3,7.3,13.7,1.8,8.8,3,2015
Minnesota,133000,136000,32000,24,640,2300,2,33.3,14.6,7.4,27.4,7,7.2,3,2015
Mississippi,23000,34000,3500,10,260,110,"""(Z)""",45.5,2.2,"""(Z)""",1.1,3.8,1.4,3,2015
Missouri,14000,14000,1200,9,700,630,5,11.1,11.7,3,2,2.1,1.4,3,2015
Montana,140000,156000,10500,7,3200,10000,6,52.5,16.4,10.7,2.3,6.4,5.3,3,2015
Nebraska,67000,77000,6000,8,500,6000,8,33.2,10.3,10.9,13.2,4.6,4.3,3,2015
New Jersey,18500,18500,210,1,190,500,3,7.2,1,0.1,"""(Z)""",1.1,0.7,3,2015
New Mexico,6500,6500,1600,25,1300,650,10,61.2,55,55,58,55.5,0.7,3,2015
New York,44000,47000,6500,14,4400,7000,15,40,14.3,5.7,17.1,8.8,1.5,3,2015
North Carolina,24000,24000,2900,12,2500,1100,5,33.9,27.9,0.7,7.5,5.7,8.5,3,2015
North Dakota,460000,500000,93000,19,11000,22000,4,33.8,15.5,8.1,12.3,4.1,3.7,3,2015
Ohio,23000,23000,1900,8,2300,880,4,30.7,8,0.6,23.4,1.6,1.7,3,2015
Oklahoma,19500,22000,230,1,160,190,1,1.6,2.3,0.1,0.1,0.6,0.4,3,2015
Oregon,68000,100000,8500,9,8000,21000,21,56,20.8,5.2,3.1,4.8,3.8,3,2015
Pennsylvania,25000,25000,1800,7,1800,2400,10,45.1,11.3,3.7,5.1,7.2,0.8,3,2015
South Carolina,12000,12000,2000,17,880,580,5,58.4,31,18.3,14.7,3.9,3,3,2015
South Dakota,295000,295000,53000,18,2100,13000,4,22,7.3,2,7.1,1.9,5.7,3,2015
Tennessee,10000,10000,1200,12,500,350,4,50.8,38.4,0.5,4.8,2.2,1,3,2015
Texas,76000,136000,16500,12,5500,4800,4,30.7,26,1.3,19.4,4.7,5.2,3,2015
Utah,31000,36000,8000,22,1400,2200,6,40.1,25,41.6,33.6,3.6,0.1,3,2015
Vermont,6000,6500,40,1,30,20,"""(Z)""",22.7,0.5,"""(Z)""","""(Z)""",0.4,"""(Z)""",3,2015
Virginia,8000,8000,680,9,520,220,3,29,14.2,1.3,3.7,3.5,8.9,3,2015
Washington,84000,97000,11500,12,1800,20000,21,45.6,3.7,2.3,1.4,3.8,0.3,3,2015
West Virginia,7000,7000,300,4,300,270,4,21.7,5.3,1,1.5,3,1.1,3,2015
Wisconsin,60000,62000,9000,15,1300,4300,7,47.3,20.1,8.3,20.9,12.6,13.5,3,2015
Wyoming,29000,35000,2500,7,270,440,1,28.5,11,6.4,3.4,2,0.4,3,2015
Other States ,12180,12280,900,7,1050,700,6,8.8,0.2,"""(Z)""",0.4,0.7,0.2,3,2015
United States,3132880,"""(X)""",457100,15,172990,303070,10,41.2,17.6,8,15.2,8.8,4.8,3,2015
