state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7500,7500,990,13,550,500,7,22.3,10.1,8.8,9.5,1.7,5.2,4,2017
Arizona,27000,30000,6500,22,1300,1100,4,61.6,4.2,2.3,1.6,4.1,0.1,4,2017
Arkansas,25000,25000,7500,30,2500,440,2,37.5,29.2,26.6,31,24.1,0.4,4,2017
California,680000,1200000,155000,13,90000,104000,9,47.9,14.1,7.4,17,17.1,6.3,4,2017
Colorado,34000,34000,7000,21,1500,4000,12,30.2,0.7,0.2,20,15.5,5.3,4,2017
Connecticut,4000,4000,330,8,190,110,3,36.4,2.8,-,0.6,1.6,1.6,4,2017
Florida,180000,240000,50000,21,55000,36000,15,41.4,16.8,7.5,10.4,7.6,26.2,4,2017
Georgia,125000,145000,21000,14,4300,2200,2,56.8,15.1,12.3,15.3,3.6,4.6,4,2017
Hawaii,15000,15000,130,1,970,290,2,57.2,66.1,0.1,-,0.1,-,4,2017
Idaho,113000,164000,9000,5,10000,5000,3,34,16.9,17.7,14.9,1.7,0.2,4,2017
Illinois,13500,13500,1800,13,140,460,3,28.9,10.2,0.8,7.9,4.9,4.9,4,2017
Indiana,11500,11500,1700,15,320,100,1,23.5,5.6,1.7,0.7,3.9,8,4,2017
Iowa,45000,45000,6500,14,250,3400,8,61,25.5,12.3,32.6,17.9,5.5,4,2017
Kansas,6500,6500,830,13,140,40,1,17.9,7.7,3.3,8.6,0.6,10.2,4,2017
Kentucky,7500,7500,870,12,50,120,2,54.3,24.4,0.5,6.5,5.6,19.1,4,2017
Louisiana,58000,60000,2700,5,390,1900,3,31.5,26.6,0.3,0.6,2.1,10.4,4,2017
Maine,5500,6000,60,1,220,110,2,24.9,6.2,0.4,-,0.6,-,4,2017
Maryland,8000,10500,1300,12,20,410,4,7.9,3.1,0.2,1.1,1.8,7.8,4,2017
Massachusetts,6000,6000,1100,18,120,550,9,13.2,1.2,6.7,2.7,1.5,0.3,4,2017
Michigan,88000,88000,11500,13,990,1900,2,53.8,13.6,5.3,23.6,1.5,2,4,2017
Minnesota,98000,98000,7000,7,1900,450,"""(Z)""",62.9,4,4.2,39.8,7.2,3.1,4,2017
Mississippi,14000,22000,3400,15,280,830,4,19.3,6.1,1.4,1.5,1.5,4.1,4,2017
Missouri,9500,9500,820,9,100,230,2,16.7,14.2,1,0.1,4.2,1.6,4,2017
Montana,115000,121000,13000,11,5500,2900,2,54.2,4.1,3.1,5.9,5.3,4.1,4,2017
Nebraska,42000,42000,7500,18,80,50,"""(Z)""",26.6,3.3,4.1,2.1,4.3,11.5,4,2017
New Jersey,15500,15500,1200,8,330,270,2,18.9,6.8,4.4,4.4,3.3,-,4,2017
New Mexico,8000,8000,1900,24,1700,-,-,86.1,0.3,-,10.3,10,1,4,2017
New York,51000,51000,3900,8,820,460,1,22.3,12.7,8,5.4,0.4,2.6,4,2017
North Carolina,23000,23000,5000,22,60,290,1,64.2,16.3,3.9,1.5,11.7,6.7,4,2017
North Dakota,410000,410000,26000,6,10000,2900,1,41.7,16.5,0.2,0.5,0.9,0.3,4,2017
Ohio,18500,18500,2800,15,510,960,5,45.3,23.3,7.1,6.4,8.4,2.9,4,2017
Oklahoma,3700,46000,100,"""(Z)""",40,-,-,1,0.5,-,-,"""(Z)""",0.2,4,2017
Oregon,94000,94000,10000,11,70,18500,20,50.6,23.3,28,14.2,3.9,1.8,4,2017
Pennsylvania,24000,24000,5500,23,2500,1100,5,44.7,5.4,1,6.9,2.9,2.3,4,2017
South Carolina,12500,15000,2000,13,1300,750,5,31.6,19.4,14.6,0.2,1.9,1.9,4,2017
South Dakota,111000,111000,6500,6,-,-,-,17.3,0.1,4.1,4.4,7.5,2.7,4,2017
Tennessee,8500,10500,1300,12,230,320,3,22.8,18.9,0.2,2,7.5,15.3,4,2017
Texas,127000,285000,20000,7,3200,1900,1,33.9,21.4,7.1,2.9,3.8,5.2,4,2017
Utah,29000,29000,2000,7,480,70,"""(Z)""",24.3,8.9,11,9.2,9.4,19.8,4,2017
Vermont,6500,6500,470,7,10,10,"""(Z)""",96.6,44.5,22.1,55.2,5.7,1.8,4,2017
Virginia,9500,9500,1100,12,300,210,2,20.9,20.6,1.3,7.5,6.9,3.9,4,2017
Washington,66000,72000,4000,6,2900,14000,19,21.7,6,"""(Z)""",0.3,0.4,0.2,4,2017
West Virginia,8500,8500,1200,14,70,1600,19,60.1,5.3,2.4,0.1,7.8,3.6,4,2017
Wisconsin,51000,55000,8500,15,530,3000,5,53.1,36.9,33.1,22.8,15.3,15.2,4,2017
Wyoming,28000,29000,3500,12,2500,320,1,38,2.4,8.4,5.9,8.1,0.6,4,2017
Other States ,6070,6970,360,5,150,240,3,11.5,1.7,3,2.2,1,2.4,4,2017
United States,2849770,"""(X)""",424860,15,204510,213990,8,55.3,18.9,9.4,15,11.1,7.6,4,2017
