state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,8000,8000,610,8,80,60,1,3.1,6.4,0.2,0.2,2.8,1.9,4,2015
Arizona,36000,39000,12000,31,3000,16000,41,50.1,1.7,1.1,3.5,0.5,15.5,4,2015
Arkansas,23000,27000,2400,9,1900,-,-,38.1,9.7,0.1,8.2,8.5,0.6,4,2015
California,750000,1260000,149000,12,39000,75000,6,37.3,12.7,6.2,11.7,10.5,7.3,4,2015
Colorado,24000,24000,2500,10,3400,-,-,47.6,24.4,21.2,19.7,8.4,1.8,4,2015
Connecticut,3200,3200,210,7,40,70,2,10.5,1.7,0.5,1.1,3.4,2,4,2015
Florida,220000,260000,37000,14,30000,28000,11,27.3,18.4,2.5,6.8,3,4.2,4,2015
Georgia,110000,121000,18000,15,4400,1900,2,43.5,13.9,5.3,4.5,3.7,1.3,4,2015
Hawaii,13000,13000,690,5,2700,760,6,31,33.9,0.2,"""(Z)""","""(Z)""","""(Z)""",4,2015
Idaho,121000,145000,22000,15,5500,5500,4,38.9,0.6,4.3,4,2.8,4.5,4,2015
Illinois,14000,14000,690,5,-,30,"""(Z)""",9.4,2.5,0.3,0.9,1,3.1,4,2015
Indiana,11500,11500,1100,10,140,-,-,15.1,0.5,6.3,0.1,0.6,3.7,4,2015
Iowa,35000,35000,4300,12,40,30,"""(Z)""",53.4,0.9,0.6,6.4,24.8,1.4,4,2015
Kansas,8500,8500,3400,40,50,20,"""(Z)""",44.5,24.8,0.2,25.1,33.9,19,4,2015
Kentucky,8500,8500,1100,13,20,10,"""(Z)""",22.2,14.8,0.4,9.8,7.2,1.7,4,2015
Louisiana,55000,71000,4900,7,1100,2400,3,10.9,1,"""(Z)""",0.6,2.4,0.2,4,2015
Maine,4700,4700,60,1,530,20,"""(Z)""",18,0.2,"""(Z)""","""(Z)""",0.1,0.4,4,2015
Maryland,7500,9500,730,8,-,-,-,5.6,2,0.1,"""(Z)""",0.2,4.3,4,2015
Massachusetts,4500,4500,260,6,30,30,1,31.4,1.6,6.2,1.9,2.6,1.1,4,2015
Michigan,67000,73000,9000,12,210,1600,2,30.2,4.1,"""(Z)""",4.1,3.2,3.7,4,2015
Minnesota,104000,105000,10000,10,600,40,"""(Z)""",43.6,8.7,8.4,25,3.8,8.9,4,2015
Mississippi,31000,34000,1500,4,500,230,1,10.6,2.5,0.3,"""(Z)""",0.7,1.3,4,2015
Missouri,13500,13500,690,5,30,40,"""(Z)""",2.8,6,3.3,0.1,0.8,1.5,4,2015
Montana,116000,123000,10000,8,1000,80,"""(Z)""",35.5,19.8,14.4,11.4,3.2,13.9,4,2015
Nebraska,72000,73000,7000,10,10,5500,8,15.5,"""(Z)""",0.2,0.3,0.4,1.7,4,2015
New Jersey,8000,8500,270,3,20,10,"""(Z)""",7.7,2.2,"""(Z)""",0.4,0.4,1.2,4,2015
New Mexico,6000,6000,290,5,290,30,1,30.9,0.3,0.2,8.4,0.6,1.7,4,2015
New York,45000,45000,4000,9,260,10,"""(Z)""",24.5,2.2,0.8,0.9,0.4,6.2,4,2015
North Carolina,22000,22000,2200,10,510,70,"""(Z)""",9.6,3.4,0.5,0.4,5.4,3.4,4,2015
North Dakota,230000,275000,35000,13,2700,9000,3,10.8,2.3,1.8,1.5,3.7,2.1,4,2015
Ohio,19000,19000,2400,13,200,140,1,36.3,8.8,2,7.3,14.5,2.1,4,2015
Oklahoma,5000,10000,650,7,290,60,1,2.8,4.5,0.1,0.1,1.3,2.5,4,2015
Oregon,100000,114000,8500,8,200,1400,1,16.4,1.3,1.5,1.5,1.7,1.5,4,2015
Pennsylvania,22000,23000,2500,11,1300,6500,28,32.2,4.3,1,0.3,0.8,1,4,2015
South Carolina,10000,17500,2200,13,640,1000,6,14.2,2.9,0.4,1.7,5.8,"""(Z)""",4,2015
South Dakota,194000,205000,9000,4,2400,-,-,16.8,3,1.9,7.1,2.4,4.1,4,2015
Tennessee,8500,10000,1100,11,70,420,4,43.6,28.3,"""(Z)""",4.6,7.1,3.6,4,2015
Texas,125000,250000,25000,10,13000,2000,1,20.9,8.7,2.7,5.4,2.2,8,4,2015
Utah,28000,28000,1900,7,120,100,"""(Z)""",75.8,9.1,6.4,0.2,4.4,0.4,4,2015
Vermont,6500,6500,940,15,10,10,"""(Z)""",57.1,16.8,0.9,0.6,0.4,15.6,4,2015
Virginia,7500,7500,750,10,-,350,5,26.3,17.2,0.4,"""(Z)""",5.8,10.4,4,2015
Washington,87000,89000,6500,7,330,170,"""(Z)""",6.9,0.1,0.1,0.3,3,1.5,4,2015
West Virginia,7000,7000,610,9,190,140,2,18.8,4.5,1.3,3,8.2,0.6,4,2015
Wisconsin,48000,48000,6500,14,210,10,"""(Z)""",49.4,15.6,2.5,21.9,6.6,21.4,4,2015
Wyoming,24000,25000,1300,5,30,-,-,45,3.3,6.6,10.5,11.3,3.9,4,2015
Other States ,11360,12560,1630,13,100,50,"""(Z)""",8.2,"""(Z)""","""(Z)""","""(Z)""","""(Z)""",8,4,2015
United States,2874760,"""(X)""",412380,14,117150,158790,6,37,11.4,5.2,9.5,7.3,6.9,4,2015
