state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7500,7500,1700,23,1200,180,2,24.2,22,4.3,8.1,2.4,11.3,1,2016
Arizona,30000,30000,4700,16,2200,960,3,32.8,2.8,"""(Z)""",7.7,6.5,7.2,1,2016
Arkansas,27000,27000,5000,19,4700,2200,8,57.5,7,"""(Z)""",0.5,1.9,8.1,1,2016
California,1140000,1410000,210000,15,175000,63000,5,38.5,15.2,9,12.6,8.4,4.3,1,2016
Colorado,6000,7000,570,8,-,20,"""(Z)""",3.5,4.7,0.6,0.3,3,0.2,1,2016
Connecticut,2700,2700,270,10,70,10,"""(Z)""",12.3,0.8,0.2,"""(Z)""",7.7,1.7,1,2016
Florida,245000,265000,45000,17,36000,18500,7,21.7,6.3,0.5,5.4,1.9,1.5,1,2016
Georgia,100000,100000,20000,20,28000,6000,6,32.2,7.7,2.1,21.3,3.1,3.9,1,2016
Hawaii,15000,15000,280,2,570,1100,7,0.3,1.5,"""(Z)""",0.1,0.8,"""(Z)""",1,2016
Idaho,90000,97000,6500,7,5500,6500,7,31.7,2.3,2.1,5.9,5.5,0.3,1,2016
Illinois,7000,7500,1300,17,470,20,"""(Z)""",15,7.8,0.4,2.9,5,10.4,1,2016
Indiana,6500,6500,770,12,40,-,-,17.4,3.7,0.9,0.3,7.2,5.5,1,2016
Iowa,16500,16500,3200,19,90,-,-,41.6,0.5,"""(Z)""",2.1,34.4,12.2,1,2016
Kansas,4700,4700,980,21,-,200,4,32.2,10.6,0.1,1.2,2.6,5.8,1,2016
Kentucky,7000,7000,1300,19,110,70,1,20.9,8,0.6,5.6,11.1,7.5,1,2016
Louisiana,68000,69000,9500,14,7500,5500,8,18,11.1,13.9,0.3,9.9,1.5,1,2016
Maine,2200,3700,170,5,-,-,-,3.3,0.4,0.3,"""(Z)""",0.8,1.4,1,2016
Maryland,6500,6500,1400,22,40,20,"""(Z)""",30.2,0.1,"""(Z)""",11,7.8,0.8,1,2016
Massachusetts,3000,3000,370,12,120,330,11,10.1,5.2,0.7,"""(Z)""",3.1,1.1,1,2016
Michigan,25000,37000,5000,14,2300,110,"""(Z)""",5.4,0.2,"""(Z)""",0.5,1.2,10.3,1,2016
Minnesota,37000,39000,6000,15,4400,10,"""(Z)""",11.8,6.9,0.1,11.3,7.1,14.2,1,2016
Mississippi,24000,77000,6500,8,11000,1700,2,8.5,1.1,"""(Z)""",2,0.2,8.8,1,2016
Missouri,11500,11500,1200,10,930,290,3,17.8,6.2,0.3,5.4,4,5.4,1,2016
Montana,15500,48000,840,2,11500,-,-,0.8,"""(Z)""","""(Z)""",0.6,0.2,0.1,1,2016
Nebraska,10500,21000,330,2,40,30,"""(Z)""",1.7,0.4,0.1,0.2,0.8,0.4,1,2016
New Jersey,8500,8500,1000,12,80,40,1,5.5,0.8,0.2,0.4,1.2,8.2,1,2016
New Mexico,6000,6500,1700,26,10,70,1,69,0.4,31.5,"""(Z)""",1.5,0.3,1,2016
New York,31000,31000,4000,13,140,1400,5,27.5,5.9,1.5,7.6,9.5,2.6,1,2016
North Carolina,18500,24000,2500,10,80,840,4,9.6,2.5,1.9,2.7,4,2.5,1,2016
North Dakota,82000,173000,17000,10,-,-,-,"""(Z)""","""(Z)""","""(Z)""","""(Z)""","""(Z)""",9.9,1,2016
Ohio,16000,16000,4200,26,760,100,1,41.9,4.4,0.2,1.3,10.2,5.3,1,2016
Oklahoma,6000,6000,2900,48,60,510,9,9.7,2.6,0.1,0.6,2.4,41.5,1,2016
Oregon,70000,92000,2800,3,3800,1800,2,20.9,15,5.3,"""(Z)""",2.4,0.3,1,2016
Pennsylvania,12500,12500,2900,23,220,340,3,44.8,4.3,0.3,3.8,5.5,4.6,1,2016
South Carolina,16500,16500,3400,21,2100,1800,11,11,2.3,0.6,2.1,5.1,4.9,1,2016
South Dakota,30000,91000,770,1,30,-,-,0.2,"""(Z)""","""(Z)""","""(Z)""",0.4,0.3,1,2016
Tennessee,9000,9000,1700,19,100,150,2,19.7,7.1,0.2,3.7,10.1,10.9,1,2016
Texas,240000,290000,29000,10,73000,42000,15,21,10.6,2.5,10.2,4,2.7,1,2016
Utah,12000,12500,1700,14,710,100,1,28.8,7.6,0.1,0.4,1.9,0.6,1,2016
Vermont,5500,5500,410,8,-,-,-,1.3,"""(Z)""",0.3,"""(Z)""",0.5,1.7,1,2016
Virginia,6500,6500,1100,17,500,130,2,32.7,7.2,"""(Z)""",0.4,5,3.8,1,2016
Washington,78000,135000,13000,10,4200,2000,2,21.6,11.3,1.4,1.7,1.7,5.4,1,2016
West Virginia,6500,7500,1700,23,-,10,"""(Z)""",21.9,2.9,1.1,0.6,6.9,6.5,1,2016
Wisconsin,22000,23000,2900,13,530,-,-,22,1.5,1,12.2,8.8,9.4,1,2016
Wyoming,2700,5000,340,7,-,-,-,"""(Z)""",0.5,0.2,3.3,1,1.6,1,2016
Other States ,7290,7890,900,11,60,10,"""(Z)""",0.1,"""(Z)""","""(Z)""","""(Z)""",13.3,"""(Z)""",1,2016
United States,2594590,"""(X)""",428800,17,378160,158050,6,34.3,12.6,6.2,10.5,7,5.4,1,2016
