state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7000,9500,900,9,690,530,6,69.5,22.1,-,35.4,7.5,3.9,3,2017
Arizona,26000,26000,4100,16,5000,3200,12,19.8,0.4,0.5,1.1,12.4,6.3,3,2017
Arkansas,29000,29000,6000,21,4400,410,1,61.4,9.1,-,17,9.3,2.3,3,2017
California,590000,670000,67000,10,73000,74000,11,42.3,15.8,5.6,13.4,10.1,3.6,3,2017
Colorado,35000,42000,4300,10,2900,6410,15,52.9,1.4,2.6,9.1,7.8,1.4,3,2017
Connecticut,3500,3500,130,4,50,20,1,25.1,1.5,0.1,-,13,-,3,2017
Florida,176000,180000,39000,22,39000,42000,23,42.9,13.2,3.7,6.3,11.4,21.5,3,2017
Georgia,121000,122000,15500,13,19000,23000,19,47.6,18,2.3,14.1,15.1,6.9,3,2017
Hawaii,15000,15000,1100,7,430,20,"""(Z)""",2.8,4.3,0.3,-,2,"""(Z)""",3,2017
Idaho,89000,116000,12000,10,9000,16500,14,53.7,19.1,6.7,15.5,9.5,5.1,3,2017
Illinois,13000,13000,1100,8,710,1200,9,29.9,14.2,2.8,2.8,4.6,3.3,3,2017
Indiana,13000,13000,930,7,420,740,6,13.9,5.9,0.4,3.9,3.8,2,3,2017
Iowa,40000,43000,2200,5,2100,4000,9,17.2,7.2,2.4,3.9,4,2.2,3,2017
Kansas,7000,7000,1700,24,1400,1000,14,65.4,52.6,14.8,20.3,1.1,7.4,3,2017
Kentucky,9000,9000,1600,18,450,700,8,46.4,39.2,4.6,0.6,10.3,6.2,3,2017
Louisiana,64000,64000,13500,21,14500,34000,53,59.2,74.5,0.3,1.6,4,14.9,3,2017
Maine,5500,6000,400,7,210,290,5,3.4,0.9,0.9,3.9,1.2,0.1,3,2017
Maryland,8500,8500,1600,19,1300,600,7,8.8,10.1,0.7,1.6,5.1,9.1,3,2017
Massachusetts,9000,9000,760,8,790,460,5,82,0.9,0.7,2.3,0.8,0.1,3,2017
Michigan,103000,109000,17500,16,4300,11500,11,56.8,11.9,8.6,13.7,15,2.9,3,2017
Minnesota,136000,136000,20000,15,1900,2200,2,39.8,4.7,1.8,9.4,11.6,2.3,3,2017
Mississippi,24000,24000,2900,12,250,230,1,71.1,4.8,0.7,0.2,18.1,0.7,3,2017
Missouri,9000,9000,580,6,320,310,3,77.7,36,2.8,34,1.6,35,3,2017
Montana,154000,161000,18500,11,3100,23000,14,42.3,6.7,6.9,2.2,19.1,2,3,2017
Nebraska,46000,47000,3700,8,880,13500,29,15.1,6.6,0.4,7.1,9.2,0.2,3,2017
New Jersey,16000,16000,420,3,280,110,1,10.7,2.9,-,0.8,0.4,1.9,3,2017
New Mexico,8500,8500,2500,29,1800,200,2,74.3,3.3,17.8,13.6,3.1,0.3,3,2017
New York,59000,59000,6500,11,3100,9000,15,45.1,19.8,6.2,9.4,13.6,1.8,3,2017
North Carolina,26000,27000,3300,12,4100,2900,11,74.5,36.1,3.3,20.3,7.6,1.8,3,2017
North Dakota,470000,490000,48000,10,24000,100000,20,42,11.9,3.4,8.1,8.1,1.9,3,2017
Ohio,23000,23000,1800,8,1100,1800,8,51.5,19.1,4.7,6.7,11.7,7,3,2017
Oklahoma,4400,4400,510,12,80,270,6,22,23,10,3.8,4.7,2,3,2017
Oregon,94000,101000,13500,13,7500,28000,28,54.4,10.6,11.3,13.2,6.4,1.8,3,2017
Pennsylvania,18500,18500,1500,8,6000,1600,9,41.4,5.7,2.7,3.7,2.2,0.9,3,2017
South Carolina,14500,14500,1700,12,640,440,3,26.4,11.8,0.2,3,5.2,0.8,3,2017
South Dakota,152000,159000,16500,10,6000,7500,5,47.4,13.4,5,10.1,27,2.5,3,2017
Tennessee,10000,10000,1700,17,800,960,10,42.8,22.1,2.1,6,5.3,6.9,3,2017
Texas,104000,115000,15000,13,21000,7500,7,33.7,23,0.1,24,18.3,1.5,3,2017
Utah,35000,35000,6500,19,5500,3200,9,40.5,0.1,0.5,16.7,15.9,9.1,3,2017
Vermont,7500,7500,180,2,520,270,4,16.8,9,4.7,"""(Z)""",7,0.7,3,2017
Virginia,11500,11500,1200,10,430,430,4,50.3,26.5,1.5,0.5,4.4,1.6,3,2017
Washington,82000,92000,17000,18,5500,10500,11,23.7,2.7,2,1.2,0.7,2.4,3,2017
West Virginia,9000,9000,930,10,440,1900,21,23.2,6.2,1.4,0.6,9.5,3.8,3,2017
Wisconsin,74000,75000,12500,17,6000,9000,12,61.6,21,18.5,21.8,13,12.1,3,2017
Wyoming,35000,36000,5500,15,3100,3500,10,21.8,1.6,9.3,4.4,5.6,5.2,3,2017
Other States ,8100,10000,1070,11,380,650,7,51.1,4.7,2.3,6.7,1.2,1.3,3,2017
United States,2994500,"""(X)""",394810,13,284370,449550,15,45.5,15,4.8,10.9,11.6,4.9,3,2017
